stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
SA200,6723,"FISHER / DYNES",,  45.365679, -75.713019,,,0
SA210,6728,"FISHER / FOREST PARK",,  45.363558, -75.712091,,,0
SA220,6033,"FISHER / FOREST PARK",,  45.363773, -75.711999,,,0
SA230,6499,"MEADOWLANDS / VALMARIE",,  45.363645, -75.709039,,,0
SA240,6716,"MEADOWLANDS / VALMARIE",,  45.363824, -75.708934,,,0
SA250,6035,"MEADOWLANDS / CLAYMORE",,  45.365015, -75.707146,,,0
SA260,6034,"MEADOWLANDS / CLAYMORE",,  45.364942, -75.707023,,,0
SA270,6715,"MEADOWLANDS / CLAYMORE",,  45.366341, -75.705584,,,0
SA280,6714,"MEADOWLANDS / CLAYMORE",,  45.366513, -75.704975,,,0
SA290,6036,"MEADOWLANDS / PRINCE OF WALES",,  45.367824, -75.702654,,,0
SA300,6037,"MEADOWLANDS / DEBRA",,  45.367562, -75.702862,,,0
SA370,6707,"PRINCE OF WALES / MEADOWLANDS",,  45.368902, -75.701587,,,0
SA380,6702,"PRINCE OF WALES / HOG'S BACK",,  45.369276, -75.701441,,,0
SA400,6706,"PRINCE OF WALES / DYNES",,  45.370185, -75.703535,,,0
SA410,6703,"PRINCE OF WALES / DYNES",,  45.370483, -75.703902,,,0
SA420,6705,"PRINCE OF WALES / SANFORD",,  45.372520, -75.708535,,,0
SA430,6704,"PRINCE OF WALES / SANFORD",,  45.372702, -75.708338,,,0
SA440,4474,"PRINCE OF WALES / FOREST HILL",,  45.373959, -75.707925,,,0
SA450,4473,"PRINCE OF WALES / BASELINE",,  45.374005, -75.708154,,,0
SA490,6759,"PRINCE OF WALES / GREEN VALLEY",,  45.377000, -75.706516,,,0
SA500,4475,"PRINCE OF WALES / GREEN VALLEY",,  45.377418, -75.705897,,,0
SA510,4476,"PRINCE OF WALES / FAIRCHILD",,  45.379361, -75.704542,,,0
SA520,6758,"PRINCE OF WALES / FAIRCHILD",,  45.379351, -75.704325,,,0
SA570,8006,"PRINCE OF WALES / NATIONAL COMMISSION",,  45.390776, -75.707677,,,0
